mother	媽媽	māma	媽媽	má-mah	family
father	爸爸	bàba	爸爸	pá-pah	family
baby	寶寶	bǎobao	嬰仔	enn-á	family
brother	哥哥	gēge	阿兄	a-hiann	family
younger brother	弟弟	dìdi	小弟	sió-tī	family
sister	姊姊	jiějie	阿姊	a-tsí	family
younger sister	妹妹	mèimei	小妹	sió-muē	family
grandpa	爺爺	yéye	阿公	a-kong	family
grandma	奶奶	nǎinai	阿媽	a-má	family
uncle	叔叔	shúshu	阿叔	a-tsik	family
aunt	阿姨	āyí	阿姨	a-î	family
cousin	表哥	biǎogē	表兄	piáu-hiann	family
family	家人	jiārén	家己人	ka-kī-lâng	family
child	小孩	xiǎohái	囡仔	gín-á	family
boy	男孩	nánhái	查埔囡仔	tsa-poo-gín-á	family
girl	女孩	nǚhái	查某囡仔	tsa-bóo-gín-á	family
man	男人	nánrén	查埔人	tsa-poo-lâng	family
woman	女人	nǚrén	查某人	tsa-bóo-lâng	family
friend	朋友	péngyǒu	朋友	pîng-iú	family
classmate	同學	tóngxué	同學	tông-ha̍k	family
neighbor	鄰居	línjū	厝邊	tshù-pinn	family
teacher	老師	lǎoshī	老師	lāu-su	jobs
student	學生	xuéshēng	學生	ha̍k-sing	jobs
doctor	醫生	yīshēng	醫生	i-sing	jobs
nurse	護士	hùshì	護士	hōo-sū	jobs
police officer	警察	jǐngchá	警察	kíng-tshat	jobs
firefighter	消防員	xiāofángyuán	消防員	siau-hông-uân	jobs
farmer	農夫	nóngfū	作穡人	tsoh-sit-lâng	jobs
fisherman	漁夫	yúfū	討海人	thó-hái-lâng	jobs
chef	廚師	chúshī	廚師	tû-su	jobs
baker	麵包師	miànbāoshī	麵包師傅	mī-pau-sai-hū	jobs
driver	司機	sījī	司機	su-ki	jobs
pilot	機師	jīshī	機師	ki-su	jobs
astronaut	太空人	tàikōngrén	太空人	thài-khong-lâng	jobs
scientist	科學家	kēxuéjiā	科學家	kho-ha̍k-ka	jobs
artist	畫家	huàjiā	畫家	uē-ka	jobs
singer	歌手	gēshǒu	歌手	kua-tshiú	jobs
dancer	舞者	wǔzhě	跳舞的	thiàu-bú--ê	jobs
writer	作家	zuòjiā	作家	tsok-ka	jobs
mail carrier	郵差	yóuchāi	郵差	iû-tshai	jobs
shopkeeper	店員	diànyuán	店員	tiàm-uân	jobs
barber	理髮師	lǐfàshī	剃頭師傅	thì-thâu-sai-hū	jobs
dentist	牙醫	yáyī	齒科醫生	khí-kho-i-sing	jobs
vet	獸醫	shòuyī	獸醫	siù-i	jobs
builder	工人	gōngrén	工人	kang-lâng	jobs
soldier	軍人	jūnrén	軍人	kun-jîn	jobs
king	國王	guówáng	國王	kok-ông	jobs
queen	王后	wánghòu	王后	ông-hiō	jobs
prince	王子	wángzǐ	王子	ông-tsú	jobs
princess	公主	gōngzhǔ	公主	kong-tsú	jobs
head	頭	tóu	頭	thâu	body
hair	頭髮	tóufǎ	頭毛	thâu-mn̂g	body
face	臉	liǎn	面	bīn	body
eye	眼睛	yǎnjīng	目睭	ba̍k-tsiu	body
ear	耳朵	ěrduo	耳仔	hīnn-á	body
nose	鼻子	bízi	鼻仔	phīnn-á	body
mouth	嘴巴	zuǐba	喙	tshuì	body
tooth	牙齒	yáchǐ	喙齒	tshuì-khí	body
tongue	舌頭	shétou	舌	tsi̍h	body
neck	脖子	bózi	頷頸	ām-kún	body
shoulder	肩膀	jiānbǎng	肩胛頭	king-kah-thâu	body
arm	手臂	shǒubì	手骨	tshiú-kut	body
hand	手	shǒu	手	tshiú	body
finger	手指	shǒuzhǐ	手指頭仔	tshiú-tsáinn-thâu-á	body
nail	指甲	zhǐjiǎ	指甲	tsíng-kah	body
leg	腿	tuǐ	跤	kha	body
foot	腳	jiǎo	跤	kha	body
toe	腳趾	jiǎozhǐ	跤指頭仔	kha-tsáinn-thâu-á	body
knee	膝蓋	xīgài	跤頭趺	kha-thâu-u	body
back	背	bèi	尻脊骿	kha-tsiah-phiann	body
tummy	肚子	dùzi	腹肚	pak-tóo	body
heart	心臟	xīnzàng	心臟	sim-tsōng	body
bone	骨頭	gǔtou	骨頭	kut-thâu	body
skin	皮膚	pífū	皮膚	phuê-hu	body
blood	血	xiě	血	hueh	body
brain	腦	nǎo	頭殼	thâu-khak	body
voice	聲音	shēngyīn	聲音	siann-im	body
happy	開心	kāixīn	歡喜	huann-hí	feelings
sad	難過	nánguò	傷心	siong-sim	feelings
angry	生氣	shēngqì	受氣	siū-khì	feelings
scared	害怕	hàipà	驚	kiann	feelings
tired	累	lèi	忝	thiám	feelings
sleepy	想睡	xiǎngshuì	愛睏	ài-khùn	feelings
hungry	餓	è	枵	iau	feelings
thirsty	渴	kě	喙焦	tshuì-ta	feelings
excited	興奮	xīngfèn	激動	kik-tōng	feelings
surprised	驚訝	jīngyà	著驚	tio̍h-kiann	feelings
shy	害羞	hàixiū	歹勢	pháinn-sè	feelings
proud	驕傲	jiāo'ào	驕傲	kiau-ngōo	feelings
lonely	寂寞	jìmò	孤單	koo-tuann	feelings
bored	無聊	wúliáo	無聊	bô-liâu	feelings
worried	擔心	dānxīn	煩惱	huân-ló	feelings
brave	勇敢	yǒnggǎn	勇敢	ióng-kám	feelings
calm	平靜	píngjìng	安靜	an-tsīng	feelings
love	愛	ài	愛	ài	feelings
sick	生病	shēngbìng	破病	phuà-pēnn	feelings
pain	痛	tòng	疼	thiànn	feelings
laugh	笑	xiào	笑	tshiò	feelings
cry	哭	kū	哭	khàu	feelings
smile	微笑	wēixiào	微微仔笑	bî-bî-á-tshiò	feelings
