today	今天	jīntiān	今仔日	kin-á-ji̍t	time
tomorrow	明天	míngtiān	明仔載	bîn-á-tsài	time
yesterday	昨天	zuótiān	昨昏	tsa-hng	time
morning	早上	zǎoshàng	早起	tsá-khí	time
noon	中午	zhōngwǔ	中晝	tiong-tàu	time
afternoon	下午	xiàwǔ	下晡	ē-poo	time
evening	傍晚	bàngwǎn	欲暗仔	beh-àm-á	time
night	晚上	wǎnshàng	暗時	àm-sî	time
midnight	半夜	bànyè	半暝	puànn-mê	time
day	日子	rìzi	日	ji̍t	time
week	星期	xīngqí	禮拜	lé-pài	time
month	月	yuè	月	gue̍h	time
year	年	nián	年	nî	time
hour	小時	xiǎoshí	點鐘	tiám-tsing	time
minute	分鐘	fēnzhōng	分鐘	hun-tsing	time
second	秒	miǎo	秒	bió	time
Monday	星期一	xīngqíyī	拜一	pài-it	time
Tuesday	星期二	xīngqí'èr	拜二	pài-jī	time
Wednesday	星期三	xīngqísān	拜三	pài-sann	time
Thursday	星期四	xīngqísì	拜四	pài-sì	time
Friday	星期五	xīngqíwǔ	拜五	pài-gōo	time
Saturday	星期六	xīngqíliù	拜六	pài-la̍k	time
Sunday	星期日	xīngqírì	禮拜日	lé-pài-ji̍t	time
now	現在	xiànzài	這馬	tsit-má	time
later	等一下	děngyíxià	等一下	tán-tsi̍t-ē	time
early	早	zǎo	早	tsá	time
late	晚	wǎn	晏	uànn	time
birthday	生日	shēngrì	生日	senn-ji̍t	time
holiday	假日	jiàrì	歇假	hioh-ká	time
season	季節	jìjié	季節	kuì-tsiat	time
clock time	鐘點	zhōngdiǎn	時間	sî-kan	time
calendar	日曆	rìlì	日曆	ji̍t-le̍k	time
Lunar New Year	過年	guònián	過年	kuè-nî	culture
red envelope	紅包	hóngbāo	紅包	âng-pau	culture
firecracker	鞭炮	biānpào	炮仔	phàu-á	culture
lantern	燈籠	dēnglóng	燈籠	ting-lâng	culture
Lantern Festival	元宵節	yuánxiāojié	元宵節	guân-siau-tseh	culture
sky lantern	天燈	tiāndēng	天燈	thian-ting	culture
Dragon Boat Festival	端午節	duānwǔjié	五日節	gōo-ji̍t-tseh	culture
dragon boat	龍舟	lóngzhōu	龍船	lîng-tsûn	culture
Mid Autumn Festival	中秋節	zhōngqiūjié	中秋節	tiong-tshiu-tseh	culture
Ghost Festival	中元節	zhōngyuánjié	中元節	tiong-guân-tseh	culture
lion dance	舞獅	wǔshī	弄獅	lāng-sai	culture
dragon dance	舞龍	wǔlóng	弄龍	lāng-lîng	culture
temple fair	廟會	miàohuì	廟會	biō-huē	culture
incense	香	xiāng	香	hiunn	culture
god statue	神像	shénxiàng	神明	sîn-bîng	culture
fortune	福氣	fúqì	福氣	hok-khì	culture
lucky	幸運	xìngyùn	好運	hó-ūn	culture
zodiac	生肖	shēngxiào	生相	senn-siùnn	culture
tea ceremony	泡茶	pàochá	泡茶	phàu-tê	culture
calligraphy	書法	shūfǎ	書法	su-huat	culture
paper cutting	剪紙	jiǎnzhǐ	鉸紙	ka-tsuá	culture
Christmas	聖誕節	shèngdànjié	聖誕節	sìng-tàn-tseh	culture
birthday cake	生日蛋糕	shēngrìdàngāo	生日雞卵糕	senn-ji̍t-ke-nn̄g-ko	culture
gift	禮物	lǐwù	禮物	lé-bu̍t	culture
party	派對	pàiduì	派對	phài-tuì	culture
hello	你好	nǐhǎo	你好	lí-hó	phrases
goodbye	再見	zàijiàn	再會	tsài-huē	phrases
thank you	謝謝	xièxie	多謝	to-siā	phrases
sorry	對不起	duìbùqǐ	歹勢	pháinn-sè	phrases
please	請	qǐng	請	tshiánn	phrases
excuse me	不好意思	bùhǎoyìsi	借過	tsioh-kuè	phrases
good morning	早安	zǎo'ān	賢早	gâu-tsá	phrases
good night	晚安	wǎn'ān	好眠	hó-bîn	phrases
yes	是	shì	是	sī	phrases
no	不是	búshì	毋是	m̄-sī	phrases
okay	好	hǎo	好	hó	phrases
I	我	wǒ	我	guá	phrases
you	你	nǐ	你	lí	phrases
he	他	tā	伊	i	phrases
we	我們	wǒmen	阮	guán	phrases
they	他們	tāmen	怹	in	phrases
what	什麼	shénme	啥物	siánn-mih	phrases
who	誰	shéi	啥人	siánn-lâng	phrases
where	哪裡	nǎlǐ	佗位	tó-uī	phrases
when	什麼時候	shénmeshíhòu	當時	tang-sî	phrases
why	為什麼	wèishénme	是按怎	sī-án-tsuánn	phrases
how	怎麼	zěnme	按怎	án-tsuánn	phrases
how much	多少	duōshǎo	偌濟	guā-tsē	phrases
happy birthday	生日快樂	shēngrìkuàilè	生日快樂	senn-ji̍t-khuài-lo̍k	phrases
happy new year	新年快樂	xīnniánkuàilè	新年恭喜	sin-nî-kiong-hí	phrases
be careful	小心	xiǎoxīn	細膩	sè-jī	phrases
wait a moment	等一下	děngyíxià	等一下	tán-tsi̍t-ē	phrases
I love you	我愛你	wǒ'àinǐ	我愛你	guá-ài-lí	phrases
