car	汽車	qìchē	汽車	khì-tshia	transport
bus	公車	gōngchē	公車	kong-tshia	transport
train	火車	huǒchē	火車	hué-tshia	transport
subway	捷運	jiéyùn	捷運	tsia̍t-ūn	transport
bicycle	腳踏車	jiǎotàchē	跤踏車	kha-ta̍h-tshia	transport
motorcycle	機車	jīchē	機車	ki-tshia	transport
scooter	滑板車	huábǎnchē	滑板車	ku̍t-pán-tshia	transport
skateboard	滑板	huábǎn	滑板	ku̍t-pán	transport
truck	卡車	kǎchē	卡車	kha-tshia	transport
van	廂型車	xiāngxíngchē	貨車	huè-tshia	transport
taxi	計程車	jìchéngchē	計程車	kè-thîng-tshia	transport
ambulance	救護車	jiùhùchē	救護車	kiù-hōo-tshia	transport
fire truck	消防車	xiāofángchē	消防車	siau-hông-tshia	transport
police car	警車	jǐngchē	警車	kíng-tshia	transport
tractor	拖拉機	tuōlājī	鐵牛仔	thih-gû-á	transport
digger	挖土機	wātǔjī	挖塗機	ueh-thôo-ki	transport
crane truck	吊車	diàochē	吊車	tiàu-tshia	transport
garbage truck	垃圾車	lèsèchē	糞埽車	pùn-sò-tshia	transport
boat	船	chuán	船	tsûn	transport
ship	輪船	lúnchuán	輪船	lûn-tsûn	transport
sailboat	帆船	fānchuán	帆船	phâng-tsûn	transport
canoe	獨木舟	dúmùzhōu	獨木舟	to̍k-bo̍k-tsiu	transport
airplane	飛機	fēijī	飛機	hue-ki	transport
helicopter	直升機	zhíshēngjī	直升機	ti̍t-sing-ki	transport
rocket	火箭	huǒjiàn	火箭	hué-tsìnn	transport
spaceship	太空船	tàikōngchuán	太空船	thài-khong-tsûn	transport
hot air balloon	熱氣球	rèqìqiú	熱氣球	jia̍t-khì-kiû	transport
wheel	輪子	lúnzi	輪仔	lián-á	transport
road sign	路標	lùbiāo	路標	lōo-piau	transport
traffic light	紅綠燈	hónglǜdēng	紅青燈	âng-tshenn-ting	transport
ticket	車票	chēpiào	車單	tshia-tuann	transport
seatbelt	安全帶	ānquándài	安全帶	an-tsuân-tuà	transport
helmet	安全帽	ānquánmào	安全帽	an-tsuân-bō	transport
red	紅色	hóngsè	紅	âng	colors
orange color	橘色	júsè	柑仔色	kam-á-sik	colors
yellow	黃色	huángsè	黃	n̂g	colors
green	綠色	lǜsè	青	tshenn	colors
blue	藍色	lánsè	藍	nâ	colors
purple	紫色	zǐsè	紫	tsí	colors
pink	粉紅色	fěnhóngsè	粉紅	hún-âng	colors
brown	咖啡色	kāfēisè	咖啡色	ka-pi-sik	colors
black	黑色	hēisè	烏	oo	colors
white	白色	báisè	白	pe̍h	colors
gray	灰色	huīsè	殕色	phú-sik	colors
gold	金色	jīnsè	金	kim	colors
silver	銀色	yínsè	銀	gîn	colors
color	顏色	yánsè	色水	sik-tsuí	colors
rainbow colors	七彩	qīcǎi	七彩	tshit-tshái	colors
circle	圓形	yuánxíng	圓	înn	shapes
square	正方形	zhèngfāngxíng	四角	sì-kak	shapes
triangle	三角形	sānjiǎoxíng	三角	sann-kak	shapes
rectangle	長方形	chángfāngxíng	長方形	tn̂g-hong-hîng	shapes
star shape	星形	xīngxíng	星形	tshenn-hîng	shapes
heart shape	愛心	àixīn	愛心	ài-sim	shapes
diamond shape	菱形	língxíng	菱形	lîng-hîng	shapes
oval	橢圓形	tuǒyuánxíng	橢圓	thó-înn	shapes
cross	十字	shízì	十字	si̍p-jī	shapes
line	線	xiàn	線	suànn	shapes
dot	點	diǎn	點	tiám	shapes
cube	立方體	lìfāngtǐ	立方體	li̍p-hong-thé	shapes
one	一	yī	一	tsi̍t	numbers
two	二	èr	二	nn̄g	numbers
three	三	sān	三	sann	numbers
four	四	sì	四	sì	numbers
five	五	wǔ	五	gōo	numbers
six	六	liù	六	la̍k	numbers
seven	七	qī	七	tshit	numbers
eight	八	bā	八	peh	numbers
nine	九	jiǔ	九	káu	numbers
ten	十	shí	十	tsa̍p	numbers
zero	零	líng	零	khòng	numbers
eleven	十一	shíyī	十一	tsa̍p-it	numbers
twenty	二十	èrshí	二十	jī-tsa̍p	numbers
fifty	五十	wǔshí	五十	gōo-tsa̍p	numbers
hundred	一百	yìbǎi	一百	tsi̍t-pah	numbers
thousand	一千	yìqiān	一千	tsi̍t-tshing	numbers
first	第一	dìyī	第一	tē-it	numbers
half	一半	yíbàn	一半	tsi̍t-puànn	numbers
many	很多	hěnduō	真濟	tsin-tsē	numbers
few	很少	hěnshǎo	真少	tsin-tsió	numbers
count	數	shǔ	算	sǹg	numbers
add	加	jiā	加	ka	numbers
