school	學校	xuéxiào	學校	ha̍k-hāu	school
classroom	教室	jiàoshì	教室	kàu-sik	school
book	書	shū	冊	tsheh	school
notebook	筆記本	bǐjìběn	筆記簿	pit-kì-phōo	school
pencil	鉛筆	qiānbǐ	鉛筆	iân-pit	school
pen	原子筆	yuánzǐbǐ	原子筆	guân-tsú-pit	school
crayon	蠟筆	làbǐ	蠟筆	la̍h-pit	school
eraser	橡皮擦	xiàngpícā	擦仔	tshat-á	school
ruler	尺	chǐ	尺	tshioh	school
scissors	剪刀	jiǎndāo	鉸刀	ka-to	school
glue	膠水	jiāoshuǐ	糊仔	kôo-á	school
tape	膠帶	jiāodài	膠帶	ka-tuà	school
paper	紙	zhǐ	紙	tsuá	school
pencil case	鉛筆盒	qiānbǐhé	鉛筆盒	iân-pit-a̍p	school
blackboard	黑板	hēibǎn	烏枋	oo-pang	school
chalk	粉筆	fěnbǐ	粉筆	hún-pit	school
desk	書桌	shūzhuō	冊桌	tsheh-toh	school
map	地圖	dìtú	地圖	tē-tôo	school
globe	地球儀	dìqiúyí	地球儀	tē-kiû-gî	school
picture	圖畫	túhuà	圖	tôo	school
story	故事	gùshì	故事	kòo-sū	school
song	歌	gē	歌	kua	school
word	字	zì	字	jī	school
letter	字母	zìmǔ	字母	jī-bú	school
question	問題	wèntí	問題	būn-tê	school
answer	答案	dá'àn	答案	tap-àn	school
homework	功課	gōngkè	功課	kong-khò	school
test	考試	kǎoshì	考試	khó-tshì	school
lesson	課	kè	課	khò	school
name	名字	míngzi	名	miâ	school
toy	玩具	wánjù	耍物仔	sńg-mi̍h-á	toys
ball	球	qiú	球	kiû	toys
doll	娃娃	wáwa	尪仔	ang-á	toys
teddy bear	泰迪熊	tàidíxióng	熊仔	hîm-á	toys
blocks	積木	jīmù	積木	tsik-bo̍k	toys
puzzle	拼圖	pīntú	拼圖	phing-tôo	toys
kite	風箏	fēngzhēng	風吹	hong-tshue	toys
balloon	氣球	qìqiú	雞胿仔	ke-kui-á	toys
bubble	泡泡	pàopào	泡	pho	toys
spinning top	陀螺	tuóluó	干樂	kan-lo̍k	toys
marble	彈珠	dànzhū	珠仔	tsu-á	toys
robot	機器人	jīqìrén	機器人	ki-khì-lâng	toys
train set	火車	huǒchē	火車	hué-tshia	toys
slide	溜滑梯	liūhuátī	溜滑梯	liu-ku̍t-thui	toys
swing	鞦韆	qiūqiān	韆鞦	tshian-tshiu	toys
seesaw	翹翹板	qiàoqiàobǎn	翹翹枋	khiàu-khiàu-pang	toys
sandbox	沙坑	shākēng	沙坑	sua-khenn	toys
drum	鼓	gǔ	鼓	kóo	music
piano	鋼琴	gāngqín	鋼琴	kǹg-khîm	music
guitar	吉他	jítā	吉他	kiat-thann	music
violin	小提琴	xiǎotíqín	小提琴	sió-thê-khîm	music
flute	笛子	dízi	品仔	phín-á	music
trumpet	小號	xiǎohào	喇叭	lat-pah	music
bell	鈴鐺	língdāng	鈴仔	lîng-á	music
whistle	哨子	shàozi	哨仔	sàu-á	music
music	音樂	yīnyuè	音樂	im-ga̍k	music
dance	跳舞	tiàowǔ	跳舞	thiàu-bú	music
sing	唱歌	chànggē	唱歌	tshiùnn-kua	music
loud	大聲	dàshēng	大聲	tuā-siann	music
quiet	安靜	ānjìng	恬靜	tiām-tsīng	music
ball game	球賽	qiúsài	球賽	kiû-sài	sports
run	跑步	pǎobù	走	tsáu	sports
jump	跳	tiào	跳	thiàu	sports
swim	游泳	yóuyǒng	泅水	siû-tsuí	sports
climb	爬	pá	爬	pê	sports
ride	騎	qí	騎	khiâ	sports
kick	踢	tī	踢	that	sports
throw	丟	diū	擲	tàn	sports
catch	接	jiē	接	tsiap	sports
basketball	籃球	lánqiú	籃球	nâ-kiû	sports
baseball	棒球	bàngqiú	棒球	pāng-kiû	sports
soccer	足球	zúqiú	足球	tsiok-kiû	sports
tennis	網球	wǎngqiú	網球	bāng-kiû	sports
badminton	羽球	yǔqiú	羽球	ú-kiû	sports
pingpong	桌球	zhuōqiú	桌球	toh-kiû	sports
bicycle race	單車	dānchē	跤踏車	kha-ta̍h-tshia	sports
race	比賽	bǐsài	比賽	pí-sài	sports
win	贏	yíng	贏	iânn	sports
lose	輸	shū	輸	su	sports
team	隊伍	duìwǔ	隊	tuī	sports
game	遊戲	yóuxì	遊戲	iû-hì	sports
play	玩	wán	耍	sńg	sports
hide and seek	捉迷藏	zhuōmícáng	覕相揣	bih-sio-tshuē	sports
jump rope	跳繩	tiàoshéng	跳索仔	thiàu-soh-á	sports
exercise	運動	yùndòng	運動	ūn-tōng	sports
strong	強壯	qiángzhuàng	勇	ióng	sports
fast	快	kuài	緊	kín	sports
slow	慢	màn	慢	bān	sports
