big	大	dà	大	tuā	describing
small	小	xiǎo	細	sè	describing
tall	高	gāo	懸	kuân	describing
short	矮	ǎi	矮	é	describing
long	長	cháng	長	tn̂g	describing
wide	寬	kuān	闊	khuah	describing
narrow	窄	zhǎi	狹	e̍h	describing
thick	厚	hòu	厚	kāu	describing
thin	薄	báo	薄	po̍h	describing
heavy	重	zhòng	重	tāng	describing
light weight	輕	qīng	輕	khin	describing
fat	胖	pàng	肥	puî	describing
skinny	瘦	shòu	瘦	sán	describing
new	新	xīn	新	sin	describing
old	舊	jiù	舊	kū	describing
young	年輕	niánqīng	少年	siàu-liân	describing
clean adj	乾淨	gānjìng	清氣	tshing-khì	describing
dirty	髒	zāng	垃圾	lah-sap	describing
wet	濕	shī	澹	tâm	describing
dry	乾	gān	焦	ta	describing
soft	軟	ruǎn	軟	nńg	describing
hard	硬	yìng	硬	ngē	describing
smooth	滑	huá	滑	ku̍t	describing
rough	粗	cū	粗	tshoo	describing
sharp	尖	jiān	尖	tsiam	describing
round	圓	yuán	圓	înn	describing
straight	直	zhí	直	ti̍t	describing
bent	彎	wān	彎	uan	describing
full	滿	mǎn	滿	muá	describing
empty	空	kōng	空	khang	describing
open adj	開著	kāizhe	開開	khui-khui	describing
closed	關著	guānzhe	關起來	kuainn--khí-lâi	describing
loud noise	吵	chǎo	吵	tshá	describing
bright	亮	liàng	光	kng	describing
dark	暗	àn	暗	àm	describing
beautiful	漂亮	piàoliang	媠	suí	describing
ugly	醜	chǒu	䆀	bái	describing
cute	可愛	kě'ài	古錐	kóo-tsui	describing
funny	好笑	hǎoxiào	好笑	hó-tshiò	describing
good	好的	hǎode	好	hó	describing
bad	壞的	huàide	歹	pháinn	describing
right	對	duì	著	tio̍h	describing
wrong	錯	cuò	毋著	m̄-tio̍h	describing
easy	容易	róngyì	簡單	kán-tan	describing
difficult	困難	kùnnán	困難	khùn-lân	describing
sweet	甜	tián	甜	tinn	describing
sour	酸	suān	酸	sng	describing
bitter	苦	kǔ	苦	khóo	describing
spicy	辣	là	辣	lua̍h	describing
salty	鹹	xián	鹹	kiâm	describing
delicious	好吃	hǎochī	好食	hó-tsia̍h	describing
fresh	新鮮	xīnxiān	新鮮	sin-sian	describing
same	一樣	yíyàng	仝款	kāng-khuán	describing
different	不同	bùtóng	無仝	bô-kāng	describing
noisy	吵鬧	chǎonào	鬧熱	lāu-jia̍t	describing
soft sound	輕聲	qīngshēng	細聲	sè-siann	describing
kind	善良	shànliáng	好心	hó-sim	describing
naughty	調皮	tiáopí	搞怪	káu-kuài	describing
polite	有禮貌	yǒulǐmào	有禮貌	ū-lé-māu	describing
smart	聰明	cōngmíng	聰明	tshong-bîng	describing
lazy	懶惰	lǎnduò	貧惰	pîn-tuānn	describing
busy	忙	máng	無閒	bô-îng	describing
free time	有空	yǒukòng	有閒	ū-îng	describing
safe	安全	ānquán	安全	an-tsuân	describing
dangerous	危險	wéixiǎn	危險	guî-hiám	describing
deep	深	shēn	深	tshim	describing
shallow	淺	qiǎn	淺	tshián	describing
near	近	jìn	近	kīn	describing
far	遠	yuǎn	遠	hn̄g	describing
high	高處	gāochù	懸	kuân	describing
low	低	dī	低	kē	describing
up	上面	shàngmiàn	頂面	tíng-bīn	position
down	下面	xiàmiàn	下面	ē-bīn	position
in	裡面	lǐmiàn	內面	lāi-bīn	position
out	外面	wàimiàn	外面	guā-bīn	position
front	前面	qiánmiàn	頭前	thâu-tsîng	position
behind	後面	hòumiàn	後壁	āu-piah	position
left	左邊	zuǒbiān	倒手爿	tò-tshiú-pîng	position
right side	右邊	yòubiān	正手爿	tsiànn-tshiú-pîng	position
middle	中間	zhōngjiān	中央	tiong-ng	position
beside	旁邊	pángbiān	邊仔	pinn-á	position
between	之間	zhījiān	中間	tiong-kan	position
on top	上頭	shàngtóu	頂頭	tíng-thâu	position
under	底下	dǐxià	下跤	ē-kha	position
around	周圍	zhōuwéi	四箍圍仔	sì-khoo-uî-á	position
here	這裡	zhèlǐ	這	tsia	position
there	那裡	nàlǐ	遐	hia	position
inside out	翻過來	fānguòlái	反過來	píng--kuè-lâi	position
