cat	貓	māo	貓	niau	animals
dog	狗	gǒu	狗	káu	animals
puppy	小狗	xiǎogǒu	狗仔	káu-á	animals
kitten	小貓	xiǎomāo	貓仔	niau-á	animals
bird	鳥	niǎo	鳥	tsiáu	animals
fish	魚	yú	魚	hî	animals
rabbit	兔子	tùzi	兔仔	thòo-á	animals
pig	豬	zhū	豬	ti	animals
cow	牛	niú	牛	gû	animals
horse	馬	mǎ	馬	bé	animals
sheep	綿羊	miányáng	綿羊	mî-iûnn	animals
goat	山羊	shānyáng	山羊	suann-iûnn	animals
chicken	雞	jī	雞	ke	animals
rooster	公雞	gōngjī	雞公	ke-kang	animals
hen	母雞	mǔjī	雞母	ke-bó	animals
chick	小雞	xiǎojī	雞仔	ke-á	animals
duck	鴨子	yāzi	鴨	ah	animals
goose	鵝	é	鵝	gô	animals
mouse	老鼠	lǎoshǔ	老鼠	niáu-tshí	animals
rat	大老鼠	dàlǎoshǔ	老鼠	niáu-tshí	animals
tiger	老虎	lǎohǔ	虎	hóo	animals
lion	獅子	shīzi	獅	sai	animals
bear	熊	xióng	熊	hîm	animals
elephant	大象	dàxiàng	象	tshiūnn	animals
monkey	猴子	hóuzi	猴	kâu	animals
panda	貓熊	māoxióng	貓熊	niau-hîm	animals
deer	鹿	lù	鹿	lo̍k	animals
fox	狐狸	húlí	狐狸	hôo-lî	animals
wolf	狼	láng	狼	lông	animals
zebra	斑馬	bānmǎ	斑馬	pan-bé	animals
giraffe	長頸鹿	chángjǐnglù	長頷鹿	tn̂g-ām-lo̍k	animals
hippo	河馬	hémǎ	河馬	hô-bé	animals
rhino	犀牛	xīniú	犀牛	sai-gû	animals
camel	駱駝	luòtuó	駱駝	lo̍k-tô	animals
kangaroo	袋鼠	dàishǔ	袋鼠	tē-tshí	animals
koala	無尾熊	wúwěixióng	無尾熊	bô-bué-hîm	animals
squirrel	松鼠	sōngshǔ	松鼠	tshîng-tshí	animals
hedgehog	刺蝟	cìwèi	刺鼠	tshì-tshí	animals
bat	蝙蝠	biānfú	蜜婆	bi̍t-pô	animals
frog	青蛙	qīngwā	田蛤仔	tshân-kap-á	animals
tadpole	蝌蚪	kēdǒu	蝌蚪	kho-táu	animals
snake	蛇	shé	蛇	tsuâ	animals
turtle	烏龜	wūguī	龜	ku	animals
lizard	蜥蜴	xīyì	蜥蜴仔	sik-i̍k-á	animals
crocodile	鱷魚	èyú	鱷魚	kho̍k-hî	animals
dinosaur	恐龍	kǒnglóng	恐龍	khióng-liông	animals
dragon	龍	lóng	龍	lîng	animals
whale	鯨魚	jīngyú	海翁	hái-ang	animals
dolphin	海豚	hǎitún	海豬	hái-ti	animals
shark	鯊魚	shāyú	鯊魚	sua-hî	animals
octopus	章魚	zhāngyú	章魚	tsiunn-hî	animals
squid	魷魚	yóuyú	魷魚	jiû-hî	animals
crab	螃蟹	pángxiè	蟳	tsîm	animals
shrimp	蝦子	xiāzi	蝦仔	hê-á	animals
lobster	龍蝦	lóngxiā	龍蝦	liông-hê	animals
jellyfish	水母	shuǐmǔ	水母	tsuí-bó	animals
starfish	海星	hǎixīng	海星	hái-tshenn	animals
seahorse	海馬	hǎimǎ	海馬	hái-bé	animals
seal	海豹	hǎibào	海豹	hái-pà	animals
penguin	企鵝	qǐé	企鵝	khiā-gô	animals
owl	貓頭鷹	māotóuyīng	貓頭鳥	niau-thâu-tsiáu	animals
eagle	老鷹	lǎoyīng	鶆鴞	lāi-hio̍h	animals
parrot	鸚鵡	yīngwǔ	鸚哥	ing-ko	animals
peacock	孔雀	kǒngquè	孔雀	khóng-tshiok	animals
swan	天鵝	tiān'é	天鵝	thian-gô	animals
crow	烏鴉	wūyā	烏鴉	oo-a	animals
sparrow	麻雀	máquè	厝鳥仔	tshù-tsiáu-á	animals
pigeon	鴿子	gēzi	鴿仔	kap-á	animals
seagull	海鷗	hǎi'ōu	海鷗	hái-ou	animals
butterfly	蝴蝶	húdié	蝴蝶	ôo-tia̍p	animals
moth	蛾	é	蛾仔	ngôo-á	animals
bee	蜜蜂	mìfēng	蜜蜂	bi̍t-phang	animals
ant	螞蟻	mǎyǐ	狗蟻	káu-hiā	animals
spider	蜘蛛	zhīzhū	蜘蛛	ti-tu	animals
ladybug	瓢蟲	piáochóng	金龜	kim-ku	animals
dragonfly	蜻蜓	qīngtíng	田嬰	tshân-enn	animals
firefly	螢火蟲	yínghuǒchóng	火金蛄	hué-kim-koo	animals
grasshopper	蚱蜢	zhàměng	草蜢	tsháu-meh	animals
cricket	蟋蟀	xīshuài	蟋蟀仔	sih-sut-á	animals
cicada	蟬	chán	庵蜅蜊	am-poo-tsê	animals
snail	蝸牛	guāniú	露螺	lōo-lê	animals
worm	蟲	chóng	蟲	thâng	animals
caterpillar	毛毛蟲	máomaochóng	刺毛蟲	tshì-mn̂g-thâng	animals
housefly	蒼蠅	cāngying	胡蠅	hôo-sîn	animals
mosquito	蚊子	wénzi	蠓仔	báng-á	animals
cockroach	蟑螂	zhāngláng	蟉蚻	ka-tsua̍h	animals
nest	鳥巢	niǎocháo	鳥岫	tsiáu-siū	animals
feather	羽毛	yǔmáo	羽毛	ú-môo	animals
wing	翅膀	chìbǎng	翼	si̍t	animals
tail	尾巴	wěiba	尾溜	bué-liu	animals
paw	腳掌	jiǎozhǎng	跤掌	kha-tsiúnn	animals
horn	角	jiǎo	角	kak	animals
fur	毛	máo	毛	mn̂g	animals
scale	鱗片	línpiàn	鱗	lân	animals
shell	殼	ké	殼	khak	animals
pet	寵物	chǒngwù	寵物	thióng-bu̍t	animals
zoo	動物園	dòngwùyuán	動物園	tōng-bu̍t-hn̂g	animals
farm	農場	nóngchǎng	農場	lông-tiûnn	animals
