house	房子	fángzi	厝	tshù	home
home	家	jiā	厝	tshù	home
door	門	mén	門	mn̂g	home
window	窗戶	chuānghù	窗仔	thang-á	home
wall	牆壁	qiángbì	壁	piah	home
floor	地板	dìbǎn	塗跤	thôo-kha	home
roof	屋頂	wūdǐng	厝頂	tshù-tíng	home
stairs	樓梯	lóutī	樓梯	lâu-thui	home
room	房間	fángjiān	房間	pâng-king	home
kitchen	廚房	chúfáng	灶跤	tsàu-kha	home
bathroom	浴室	yùshì	浴間	i̍k-king	home
toilet	廁所	cèsuǒ	便所	piān-sóo	home
bed	床	chuáng	眠床	bîn-tshn̂g	home
pillow	枕頭	zhěntou	枕頭	tsím-thâu	home
blanket	棉被	miánbèi	棉被	mî-phuē	home
table	桌子	zhuōzi	桌仔	toh-á	home
chair	椅子	yǐzi	椅仔	í-á	home
sofa	沙發	shāfā	沙發	sa-huat	home
lamp	檯燈	táidēng	電火	tiān-hué	home
light	燈	dēng	燈	ting	home
clock	時鐘	shízhōng	時鐘	sî-tsing	home
mirror	鏡子	jìngzi	鏡	kiànn	home
curtain	窗簾	chuānglián	窗簾	thang-liâm	home
carpet	地毯	dìtǎn	地毯	tē-thán	home
closet	衣櫃	yīguì	衫仔櫥	sann-á-tû	home
drawer	抽屜	chōutì	屜仔	thuah-á	home
shelf	架子	jiàzi	架仔	kè-á	home
box	盒子	hézi	盒仔	a̍p-á	home
basket	籃子	lánzi	籃仔	nâ-á	home
bag	袋子	dàizi	袋仔	tē-á	home
key	鑰匙	yàoshi	鎖匙	só-sî	home
lock	鎖	suǒ	鎖	só	home
broom	掃把	sàobǎ	掃帚	sàu-tshiú	home
trash can	垃圾桶	lèsètǒng	糞埽桶	pùn-sò-tháng	home
towel	毛巾	máojīn	面巾	bīn-kin	home
soap	肥皂	féizào	雪文	sat-bûn	home
toothbrush	牙刷	yáshuā	齒抿	khí-bín	home
toothpaste	牙膏	yágāo	齒膏	khí-ko	home
comb	梳子	shūzi	梳仔	sue-á	home
fan	電風扇	diànfēngshàn	電風	tiān-hong	home
air conditioner	冷氣	lěngqì	冷氣	líng-khì	home
refrigerator	冰箱	bīngxiāng	冰箱	ping-siunn	home
stove	爐子	lúzi	爐仔	lôo-á	home
oven	烤箱	kǎoxiāng	烘爐	hang-lôo	home
sink	水槽	shuǐcáo	水槽	tsuí-tsô	home
faucet	水龍頭	shuǐlóngtóu	水道頭	tsuí-tō-thâu	home
pot	鍋子	guōzi	鼎	tiánn	home
pan	平底鍋	píngdǐguō	鍋仔	ue-á	home
bowl	碗	wǎn	碗	uánn	home
plate	盤子	pánzi	盤仔	puânn-á	home
cup	杯子	bēizi	杯仔	pue-á	home
spoon	湯匙	tāngchí	湯匙	thng-sî	home
fork	叉子	chāzi	叉仔	tshe-á	home
knife	刀子	dāozi	刀仔	to-á	home
chopsticks	筷子	kuàizi	箸	tī	home
bottle	瓶子	píngzi	矸仔	kan-á	home
straw	吸管	xīguǎn	吸管	khip-kuán	home
napkin	餐巾	cānjīn	餐巾	tshan-kin	home
tray	托盤	tuōpán	盤仔	puânn-á	home
kettle	水壺	shuǐhú	茶鈷	tê-kóo	home
telephone	電話	diànhuà	電話	tiān-uē	home
television	電視	diànshì	電視	tiān-sī	home
computer	電腦	diànnǎo	電腦	tiān-náu	home
radio	收音機	shōuyīnjī	收音機	siu-im-ki	home
camera	相機	xiàngjī	相機	siòng-ki	home
umbrella	雨傘	yǔsǎn	雨傘	hōo-suànn	home
washing machine	洗衣機	xǐyījī	洗衫機	sé-sann-ki	home
shirt	襯衫	chènshān	襯衫	tshìn-sann	clothes
tshirt	T恤	tīxù	汗衫	kuānn-sann	clothes
pants	褲子	kùzi	褲	khòo	clothes
shorts	短褲	duǎnkù	短褲	té-khòo	clothes
skirt	裙子	qúnzi	裙	kûn	clothes
dress	洋裝	yángzhuāng	洋裝	iûnn-tsong	clothes
coat	外套	wàitào	外套	guā-thò	clothes
sweater	毛衣	máoyī	毛衫	mn̂g-sann	clothes
raincoat	雨衣	yǔyī	雨衫	hōo-sann	clothes
pajamas	睡衣	shuìyī	睏衫	khùn-sann	clothes
socks	襪子	wàzi	襪仔	bue̍h-á	clothes
shoes	鞋子	xiézi	鞋	ê	clothes
boots	靴子	xuēzi	靴	hia	clothes
sandals	涼鞋	liángxié	淺拖	tshián-thua	clothes
hat	帽子	màozi	帽仔	bō-á	clothes
scarf	圍巾	wéijīn	圍巾	uî-kin	clothes
gloves	手套	shǒutào	手橐仔	tshiú-lok-á	clothes
belt	皮帶	pídài	皮帶	phuê-tuà	clothes
button	扣子	kòuzi	鈕仔	liú-á	clothes
pocket	口袋	kǒudài	橐袋仔	lak-tē-á	clothes
glasses	眼鏡	yǎnjìng	目鏡	ba̍k-kiànn	clothes
watch	手錶	shǒubiǎo	錶仔	pió-á	clothes
ring	戒指	jièzhǐ	手指	tshiú-tsí	clothes
necklace	項鍊	xiàngliàn	項鍊	hāng-liān	clothes
backpack	書包	shūbāo	冊包	tsheh-pau	clothes
mask	口罩	kǒuzhào	喙罨	tshuì-am	clothes
apron	圍裙	wéiqún	圍身裙	uî-sin-kûn	clothes
swimsuit	泳衣	yǒngyī	泅水衫	siû-tsuí-sann	clothes
uniform	制服	zhìfú	制服	tsè-ho̍k	clothes
