eat	吃	chī	食	tsia̍h	actions
drink	喝	hē	啉	lim	actions
sleep	睡覺	shuìjiào	睏	khùn	actions
wake up	起床	qǐchuáng	起床	khí-tshn̂g	actions
walk	走路	zǒulù	行	kiânn	actions
sit	坐	zuò	坐	tsē	actions
stand	站	zhàn	徛	khiā	actions
lie down	躺	tǎng	倒	tó	actions
open	打開	dǎkāi	開	khui	actions
close	關	guān	關	kuainn	actions
push	推	tuī	揀	sak	actions
pull	拉	lā	拉	lua̍h	actions
lift	舉起	jǔqǐ	夯	giâ	actions
carry	搬	bān	搬	puann	actions
hold	拿	ná	提	the̍h	actions
give	給	gěi	予	hōo	actions
take	拿走	názǒu	提走	the̍h-tsáu	actions
put	放	fàng	囥	khǹg	actions
find	找到	zhǎodào	揣著	tshuē-tio̍h	actions
look	看	kàn	看	khuànn	actions
listen	聽	tīng	聽	thiann	actions
speak	說	shuō	講	kóng	actions
read	讀	dú	讀	tha̍k	actions
write	寫	xiě	寫	siá	actions
draw	畫	huà	畫	uē	actions
paint	上色	shàngsè	抹色	buah-sik	actions
cut	剪	jiǎn	鉸	ka	actions
paste	貼	tiē	貼	tah	actions
fold	摺	zhé	摺	tsih	actions
build	蓋	gài	起	khí	actions
break	弄壞	nònghuài	拍歹	phah-pháinn	actions
fix	修理	xiūlǐ	修理	siu-lí	actions
clean	打掃	dǎsǎo	拚掃	piànn-sàu	actions
wash	洗	xǐ	洗	sé	actions
wipe	擦	cā	拭	tshit	actions
cook	煮	zhǔ	煮	tsú	actions
bake	烤	kǎo	烘	hang	actions
boil	煮開	zhǔkāi	滾	kún	actions
fry	炒	chǎo	炒	tshá	actions
pour	倒	dào	倒	tò	actions
mix	攪拌	jiǎobàn	捘	tsūn	actions
taste	嚐	cháng	試味	tshì-bī	actions
smell	聞	wén	鼻	phīnn	actions
touch	摸	mō	摸	bong	actions
hug	抱	bào	攬	lám	actions
kiss	親	qīn	唚	tsim	actions
wave hand	揮手	huīshǒu	搖手	iô-tshiú	actions
clap	拍手	pāishǒu	拍噗仔	phah-phok-á	actions
point	指	zhǐ	比	pí	actions
nod	點頭	diǎntóu	頕頭	tàm-thâu	actions
shake head	搖頭	yáotóu	搖頭	iô-thâu	actions
smile action	笑一笑	xiàoyíxiào	笑一下	tshiò-tsi̍t-ē	actions
shout	大叫	dàjiào	嚷	jiáng	actions
whisper	小聲說	xiǎoshēngshuō	細聲講	sè-siann-kóng	actions
ask	問	wèn	問	mn̄g	actions
answer back	回答	huídá	應	ìn	actions
help	幫忙	bāngmáng	鬥相共	tàu-sann-kāng	actions
share	分享	fēnxiǎng	分	pun	actions
wait	等	děng	等	tán	actions
come	來	lái	來	lâi	actions
go	去	qù	去	khì	actions
enter	進去	jìnqù	入去	ji̍p-khì	actions
exit	出去	chūqù	出去	tshut-khì	actions
return	回來	huílái	轉來	tńg-lâi	actions
fly	飛	fēi	飛	pue	actions
fall	跌倒	diédǎo	跋倒	pua̍h-tó	actions
slip	滑倒	huádǎo	滑倒	ku̍t-tó	actions
crawl	爬行	páxíng	趖	sô	actions
roll	滾動	gǔndòng	輾	liàn	actions
spin	轉圈	zhuànquān	踅	se̍h	actions
swing action	盪鞦韆	dàngqiūqiān	盪韆鞦	tn̄g-tshian-tshiu	actions
hide	躲	duǒ	覕	bih	actions
chase	追	zhuī	逐	jiok	actions
knock	敲	qiāo	敲	khà	actions
ring a bell	按鈴	ànlíng	搝鈴	giú-lîng	actions
turn on	打開燈	dǎkāidēng	點火	tiám-hué	actions
turn off	關燈	guāndēng	禁火	kìm-hué	actions
buy	買	mǎi	買	bé	actions
sell	賣	mài	賣	bē	actions
pay	付錢	fùqián	付錢	hù-tsînn	actions
count money	數錢	shǔqián	算錢	sǹg-tsînn	actions
wear	穿	chuān	穿	tshīng	actions
take off	脫	tuō	褪	thǹg	actions
brush teeth	刷牙	shuāyá	洗喙	sé-tshuì	actions
comb hair	梳頭	shūtóu	梳頭	sue-thâu	actions
bathe	洗澡	xǐzǎo	洗身軀	sé-sing-khu	actions
rest	休息	xiūxí	歇睏	hioh-khùn	actions
think	想	xiǎng	想	siūnn	actions
remember	記得	jìde	會記得	ē-kì-tit	actions
forget	忘記	wàngjì	袂記得	bē-kì-tit	actions
know	知道	zhīdào	知影	tsai-iánn	actions
learn	學	xué	學	o̍h	actions
teach	教	jiāo	教	kà	actions
try	試試看	shìshìkàn	試看覓	tshì-khuànn-māi	actions
finish	做完	zuòwán	做好	tsò-hó	actions
start	開始	kāishǐ	開始	khai-sí	actions
stop	停	tíng	停	thîng	actions
work	工作	gōngzuò	做工	tsò-kang	actions
plant	種	zhòng	種	tsìng	actions
water plants	澆水	jiāoshuǐ	沃水	ak-tsuí	actions
pick	摘	zhāi	挽	bán	actions
feed	餵	wèi	飼	tshī	actions
walk the dog	遛狗	liùgǒu	牽狗	khan-káu	actions
fish action	釣魚	diàoyú	釣魚	tiò-hî	actions
sweep	掃地	sǎodì	掃塗跤	sàu-thôo-kha	actions
sew	縫	féng	紩	thīnn	actions
knit	織	zhī	織	tsit	actions
tie	綁	bǎng	縛	pa̍k	actions
dig	挖	wā	挖	ueh	actions
blow	吹	chuī	歕	pûn	actions
breathe	呼吸	hūxī	喘氣	tshuán-khuì	actions
cough	咳嗽	késòu	咳嗽	ka-sàu	actions
sneeze	打噴嚏	dǎpēntì	拍咳啾	phah-kha-tshiùnn	actions
yawn	打哈欠	dǎhāqiàn	哈唏	hah-hì	actions
