apple	蘋果	píngguǒ	蘋果	phōng-kó	food
banana	香蕉	xiāngjiāo	弓蕉	kin-tsio	food
orange	柳橙	liǔchéng	柳丁	liú-ting	food
grape	葡萄	pútáo	葡萄	phû-tô	food
strawberry	草莓	cǎoméi	草莓	tsháu-m̂	food
watermelon	西瓜	xīguā	西瓜	si-kue	food
pineapple	鳳梨	fènglí	鳳梨	ông-lâi	food
mango	芒果	mángguǒ	檨仔	suāinn-á	food
peach	桃子	táozi	桃仔	thô-á	food
pear	梨子	lízi	梨仔	lâi-á	food
lemon	檸檬	níngméng	檸檬	lê-bóng	food
cherry	櫻桃	yīngtáo	櫻桃	ing-thô	food
guava	芭樂	bālè	菝仔	pua̍t-á	food
papaya	木瓜	mùguā	木瓜	bo̍k-kue	food
lychee	荔枝	lìzhī	荔枝	nāi-tsi	food
longan	龍眼	lóngyǎn	龍眼	lîng-gíng	food
starfruit	楊桃	yángtáo	楊桃	iûnn-thô	food
persimmon	柿子	shìzi	柿仔	khī-á	food
melon	甜瓜	tiánguā	甜瓜	tinn-kue	food
coconut	椰子	yēzi	椰子	iâ-tsí	food
blueberry	藍莓	lánméi	藍莓	nâ-m̂	food
kiwi	奇異果	qíyìguǒ	奇異果	kî-ī-kó	food
tomato	番茄	fānqié	柑仔蜜	kam-á-bit	food
potato	馬鈴薯	mǎlíngshǔ	馬鈴薯	má-lîng-tsî	food
sweetpotato	地瓜	dìguā	番薯	han-tsî	food
carrot	紅蘿蔔	hóngluóbo	紅菜頭	âng-tshài-thâu	food
radish	白蘿蔔	báiluóbo	菜頭	tshài-thâu	food
cabbage	高麗菜	gāolícài	高麗菜	ko-lê-tshài	food
lettuce	生菜	shēngcài	妹仔菜	muē-á-tshài	food
spinach	菠菜	bōcài	菠薐仔	pue-lîng-á	food
broccoli	花椰菜	huāyécài	花菜	hue-tshài	food
cucumber	小黃瓜	xiǎohuángguā	刺瓜仔	tshì-kue-á	food
pumpkin	南瓜	nánguā	金瓜	kim-kue	food
eggplant	茄子	qiézi	茄仔	kiô-á	food
corn	玉米	yùmǐ	番麥	huan-be̍h	food
pea	豌豆	wāndòu	豆仔	tāu-á	food
bean	豆子	dòuzi	豆	tāu	food
mushroom	香菇	xiānggū	香菇	hiunn-koo	food
onion	洋蔥	yángcōng	蔥頭	tshang-thâu	food
garlic	大蒜	dàsuàn	蒜頭	suàn-thâu	food
ginger	薑	jiāng	薑	kiunn	food
chili	辣椒	làjiāo	番薑	huan-kiunn	food
scallion	蔥	cōng	蔥仔	tshang-á	food
bamboo shoot	竹筍	zhúsǔn	竹筍	tik-sún	food
tofu	豆腐	dòufu	豆腐	tāu-hū	food
rice	米飯	mǐfàn	飯	pn̄g	food
noodles	麵	miàn	麵	mī	food
bread	麵包	miànbāo	麵包	mī-pau	food
bun	包子	bāozi	包仔	pau-á	food
dumpling	水餃	shuǐjiǎo	水餃	tsuí-kiáu	food
soup	湯	tāng	湯	thng	food
porridge	粥	zhōu	糜	muâi	food
egg	蛋	dàn	卵	nn̄g	food
meat	肉	ròu	肉	bah	food
pork	豬肉	zhūròu	豬肉	ti-bah	food
beef	牛肉	niúròu	牛肉	gû-bah	food
sausage	香腸	xiāngcháng	煙腸	ian-tshiâng	food
milk	牛奶	niúnǎi	牛奶	gû-ling	food
water	水	shuǐ	水	tsuí	food
tea	茶	chá	茶	tê	food
juice	果汁	guǒzhī	果汁	kó-tsiap	food
soymilk	豆漿	dòujiāng	豆奶	tāu-ling	food
bubble tea	珍珠奶茶	zhēnzhūnǎichá	珍珠奶茶	tsin-tsu-ling-tê	food
coffee	咖啡	kāfēi	咖啡	ka-pi	food
ice cream	冰淇淋	bīngqílín	枝仔冰	ki-á-ping	food
cake	蛋糕	dàngāo	雞卵糕	ke-nn̄g-ko	food
cookie	餅乾	bǐnggān	餅	piánn	food
candy	糖果	tángguǒ	糖仔	thn̂g-á	food
chocolate	巧克力	qiǎokèlì	巧克力	khá-khik-li̍k	food
honey	蜂蜜	fēngmì	蜂蜜	phang-bi̍t	food
jelly	果凍	guǒdòng	果凍	kó-tàng	food
