sun	太陽	tàiyáng	日頭	ji̍t-thâu	nature
moon	月亮	yuèliàng	月娘	gue̍h-niû	nature
star	星星	xīngxing	星	tshenn	nature
sky	天空	tiānkōng	天頂	thinn-tíng	nature
cloud	雲	yún	雲	hûn	nature
rain	雨	yǔ	雨	hōo	nature
snow	雪	xuě	雪	seh	nature
wind	風	fēng	風	hong	nature
storm	暴風雨	bàofēngyǔ	風颱雨	hong-thai-hōo	nature
typhoon	颱風	táifēng	風颱	hong-thai	nature
thunder	打雷	dǎléi	雷公	luî-kong	nature
lightning	閃電	shǎndiàn	閃爁	sinn-nà	nature
rainbow	彩虹	cǎihóng	虹	khīng	nature
fog	霧	wù	霧	bū	nature
frost	霜	shuāng	霜	sng	nature
ice	冰	bīng	冰	ping	nature
fire	火	huǒ	火	hué	nature
smoke	煙	yān	煙	ian	nature
earth	地球	dìqiú	地球	tē-kiû	nature
mountain	山	shān	山	suann	nature
hill	山丘	shānqiū	崙	lūn	nature
river	河	hé	溪	khe	nature
lake	湖	hú	湖	ôo	nature
sea	海	hǎi	海	hái	nature
beach	海灘	hǎitān	海沙埔	hái-sua-poo	nature
wave	浪	làng	湧	íng	nature
island	島	dǎo	島	tó	nature
forest	森林	sēnlín	樹林	tshiū-nâ	nature
tree	樹	shù	樹	tshiū	nature
leaf	葉子	yèzi	葉仔	hio̍h-á	nature
branch	樹枝	shùzhī	樹枝	tshiū-ki	nature
root	樹根	shùgēn	樹根	tshiū-kin	nature
flower	花	huā	花	hue	nature
grass	草	cǎo	草	tsháu	nature
seed	種子	zhǒngzi	種子	tsíng-tsí	nature
fruit	水果	shuǐguǒ	水果	tsuí-kó	nature
rose	玫瑰	méiguī	玫瑰	muî-kuì	nature
sunflower	向日葵	xiàngrìkuí	向日葵	hiòng-ji̍t-kuî	nature
lotus	蓮花	liánhuā	蓮花	liân-hue	nature
orchid	蘭花	lánhuā	蘭花	lân-hue	nature
plum blossom	梅花	méihuā	梅花	muî-hue	nature
bamboo	竹子	zhúzi	竹仔	tik-á	nature
cactus	仙人掌	xiānrénzhǎng	仙人掌	sian-jîn-tsiáng	nature
stone	石頭	shítou	石頭	tsio̍h-thâu	nature
sand	沙	shā	沙	sua	nature
soil	泥土	nítǔ	塗	thôo	nature
mud	泥巴	níbā	塗糜	thôo-muâi	nature
puddle	水窪	shuǐwā	水窟仔	tsuí-khut-á	nature
cave	山洞	shāndòng	山洞	suann-tōng	nature
volcano	火山	huǒshān	火山	hué-suann	nature
desert	沙漠	shāmò	沙漠	sua-bo̍k	nature
sunshine	陽光	yángguāng	日光	ji̍t-kng	nature
shadow	影子	yǐngzi	影	iánn	nature
weather	天氣	tiānqì	天氣	thinn-khì	nature
hot	熱	rè	熱	jua̍h	nature
cold	冷	lěng	寒	kuânn	nature
warm	溫暖	wēnnuǎn	燒烙	sio-lō	nature
sunny	晴天	qíngtiān	好天	hó-thinn	nature
cloudy	陰天	yīntiān	烏陰	oo-im	nature
rainy	下雨	xiàyǔ	落雨	lo̍h-hōo	nature
windy	颳風	guāfēng	透風	thàu-hong	nature
spring	春天	chūntiān	春天	tshun-thinn	nature
summer	夏天	xiàtiān	熱天	jua̍h-thinn	nature
autumn	秋天	qiūtiān	秋天	tshiu-thinn	nature
winter	冬天	dōngtiān	寒天	kuânn-thinn	nature
park	公園	gōngyuán	公園	kong-hn̂g	places
playground	遊樂場	yóulèchǎng	遊樂場	iû-lo̍k-tiûnn	places
store	商店	shāngdiàn	店	tiàm	places
market	市場	shìchǎng	市場	tshī-tiûnn	places
night market	夜市	yèshì	夜市	iā-tshī	places
restaurant	餐廳	cāntīng	餐廳	tshan-thiann	places
hospital	醫院	yīyuàn	病院	pēnn-īnn	places
library	圖書館	túshūguǎn	圖書館	tôo-su-kuán	places
museum	博物館	bówùguǎn	博物館	phok-bu̍t-kuán	places
post office	郵局	yóujú	郵局	iû-kio̍k	places
bank	銀行	yínháng	銀行	gîn-hâng	places
temple	廟	miào	廟	biō	places
church	教堂	jiàotáng	教堂	kàu-tn̂g	places
station	車站	chēzhàn	車頭	tshia-thâu	places
airport	機場	jīchǎng	機場	ki-tiûnn	places
bridge	橋	qiáo	橋	kiô	places
road	馬路	mǎlù	路	lōo	places
street	街道	jiēdào	街仔路	ke-á-lōo	places
sidewalk	人行道	rénxíngdào	人行道	jîn-hîng-tō	places
farm field	田	tián	田	tshân	places
garden	花園	huāyuán	花園	hue-hn̂g	places
pool	游泳池	yóuyǒngchí	泅水池	siû-tsuí-tî	places
zoo park	動物園	dòngwùyuán	動物園	tōng-bu̍t-hn̂g	places
city	城市	chéngshì	城市	siânn-tshī	places
village	村莊	cūnzhuāng	庄跤	tsng-kha	places
country	國家	guójiā	國家	kok-ka	places
Taiwan	台灣	Táiwān	台灣	Tâi-uân	places
world	世界	shìjiè	世界	sè-kài	places
